date,frequency,rate
2022-05-02 00:00:00,177367462.0,6.043
2022-05-04 00:00:00,194108014.0,6.015
2022-05-05 00:00:00,185803093.0,6.026
2022-05-06 00:00:00,179498088.0,6.044
2022-05-07 00:00:00,165065522.0,6.054
2022-05-03 00:00:00,198776618.0,5.983
2022-05-08 00:00:00,164292168.0,6.077
2022-05-09 00:00:00,193100119.0,6.013
2022-05-10 00:00:00,187958641.0,6.015
2022-05-11 00:00:00,185075810.0,6.001
2022-05-12 00:00:00,184503921.0,6.009
2022-05-13 00:00:00,180513796.0,6.011
2022-05-14 00:00:00,168694969.0,6.011
2022-05-15 00:00:00,172474595.0,6.009
2022-05-16 00:00:00,181638305.0,6.033
2022-05-17 00:00:00,132186831.0,6.029
2022-05-18 00:00:00,178510611.0,6.036
2022-05-19 00:00:00,177211514.0,6.044
2022-05-20 00:00:00,174062478.0,6.065
2022-05-21 00:00:00,160669392.0,6.048
2022-05-22 00:00:00,159625297.0,6.054
2022-05-23 00:00:00,170871470.0,6.043
2022-05-24 00:00:00,193848871.0,5.941
2022-05-25 00:00:00,208624917.0,5.893
2022-05-26 00:00:00,196898778.0,5.953
2022-05-27 00:00:00,186088800.0,5.986
2022-05-28 00:00:00,165774153.0,6.011
2022-05-29 00:00:00,156538289.0,6.013
2022-05-30 00:00:00,158643940.0,6.037
2022-05-31 00:00:00,173248547.0,6.027
2022-06-01 00:00:00,179149270.0,6.035
2022-06-02 00:00:00,176526481.0,6.016
2022-06-03 00:00:00,169077358.0,6.031
2022-06-04 00:00:00,153371606.0,6.046
2022-06-05 00:00:00,165787062.0,6.013
